ID_Cliente,Edad,Ingreso_Anual_COP,Gasto_Anual_COP,Nivel_Educacion
117,34,69260818.0,29321498,Profesional
118,23,22342064.0,14685047,
119,46,13598825.0,3665301,Técnico
120,42,45133099.0,28328428,Bachillerato
121,42,15042778.0,2641135,Posgrado
122,25,24121888.0,4861472,Técnico
123,49,26374223.0,6935586,Profesional
124,20,28973472.0,5297911,Profesional
125,40,42342004.0,21493769,Bachillerato
126,56,21314343.0,492107,Posgrado
127,25,26162648.0,15897196,Profesional
128,29,29786706.0,18486209,Bachillerato
129,35,32330024.0,17912504,
130,29,31503888.0,13922362,Profesional
131,19,37307719.0,17142150,Profesional
132,35,45746584.0,18520976,Profesional
133,24,36507380.0,13733626,Bachillerato
134,39,37637095.0,10570885,Profesional
135,25,13600217.0,8075947,Bachillerato
136,50,30762955.0,2191251,Profesional
137,27,38128085.0,20739063,Profesional
138,31,43192547.0,24156790,Posgrado
139,43,21221652.0,9259117,Profesional
140,22,21578074.0,2541966,Bachillerato
141,37,22514218.0,6749392,Posgrado
142,48,39228531.0,16281597,Profesional
143,18,50306681.0,13657089,Profesional
144,36,24470475.0,10332772,Bachillerato
145,37,47237049.0,8689970,Posgrado
146,42,31910569.0,3054033,Posgrado
147,22,28192457.0,2563348,Profesional
148,21,,2452915,Posgrado
149,40,43575848.0,27131708,Técnico
150,37,35303647.0,26653808,Posgrado
151,37,93607461.0,33105919,Profesional
152,38,19591289.0,8677237,Bachillerato
153,28,38870990.0,1000000,Profesional
154,37,23025375.0,8651851,Profesional
155,37,19424863.0,6642892,Técnico
156,27,29837434.0,12655674,Bachillerato
157,53,32132681.0,18994344,Bachillerato
158,39,129060870.0,225443,Técnico
159,23,27361159.0,20744957,Bachillerato
160,41,17049280.0,3348072,Bachillerato
161,25,34387830.0,14603036,Técnico
162,42,10632096.0,1000000,Posgrado
163,46,28651877.0,6561983,Profesional
164,26,30241344.0,4763054,
165,44,44634074.0,13752740,Posgrado
166,39,48813577.0,15639994,Profesional
167,43,23322360.0,1000000,Profesional
168,53,27823761.0,14902265,Profesional
169,32,20453151.0,14952329,Técnico
170,27,17067329.0,10614685,Bachillerato
171,26,35027895.0,5180287,Técnico
172,26,15869588.0,1554224,Profesional
173,34,24382945.0,6892174,Profesional
174,38,18239879.0,7199271,Profesional
175,37,39489664.0,17433241,Técnico
176,999,73840874.0,12178367,Profesional
177,35,,12217882,Profesional
178,49,11878002.0,2402772,Posgrado
179,32,28183985.0,19208632,Técnico
180,62,30236393.0,14972984,Posgrado
181,41,33465900.0,5892975,Profesional
182,26,,3901686,Profesional
183,24,27136447.0,8459108,Profesional
184,39,36051648.0,14663963,Bachillerato
185,32,50471702.0,35678650,Posgrado
186,42,11287241.0,1641328,Bachillerato
187,39,,7978793,Profesional
188,34,33384835.0,9194124,Técnico
189,26,18957683.0,12325996,Técnico
190,19,,31247120,Profesional
191,30,44563217.0,1139499,Posgrado
192,43,29386959.0,7814299,Profesional
193,37,39615023.0,11448709,Posgrado
194,22,22321603.0,13387294,Profesional
195,36,11916343.0,7202012,Bachillerato
196,38,24212526.0,8107659,Bachillerato
197,-5,,16765628,Profesional
198,36,25349267.0,8588642,Bachillerato
199,35,19648091.0,2587414,Profesional
200,23,47657188.0,17054734,Bachillerato
201,38,25426957.0,219554,Técnico
202,40,23245625.0,12168250,Profesional
203,45,32327731.0,16512123,Profesional
204,45,44104970.0,27008339,Bachillerato
205,21,98696960.0,35351538,Técnico
206,25,45368382.0,5116288,Técnico
207,40,53576865.0,37895635,Bachillerato
208,40,23294430.0,7364172,Profesional
209,40,17962088.0,14333682,Profesional
210,73,30949692.0,17695001,Bachillerato
211,40,31651398.0,17280563,Técnico
212,46,17495452.0,2150959,Técnico
213,44,27482518.0,18374599,Técnico
214,41,36629582.0,20389885,Profesional
215,31,35923586.0,15841382,Técnico
216,42,38603436.0,20081570,Técnico
217,27,34697920.0,2713517,Profesional
218,32,23282291.0,4110724,Bachillerato
219,30,23202199.0,8361426,Profesional
220,35,16472983.0,6279649,Profesional
221,58,73228515.0,47871405,Técnico
222,18,30202435.0,23479424,Profesional
223,41,26809890.0,9411692,Profesional
224,18,18855437.0,12118488,Profesional
225,30,130194089.0,29738763,Profesional
226,45,17540866.0,17540866,Profesional
227,35,24210185.0,3104220,Posgrado
228,24,36933381.0,3456318,Profesional
229,27,40500076.0,20525172,Posgrado
230,41,48432128.0,24609845,Bachillerato
231,27,74069336.0,42020190,Profesional
232,37,38639544.0,2653261,Bachillerato
233,35,17693228.0,11754163,Bachillerato
234,28,26383130.0,11712550,Profesional
235,56,34991793.0,3761609,
236,41,84378312.0,49534180,Técnico
237,18,14913914.0,10155741,Profesional
238,36,54734029.0,26462669,Profesional
239,28,41389361.0,15919168,Técnico
240,43,45609345.0,26278505,Técnico
241,27,28508435.0,10435458,Técnico
242,33,19687443.0,9730236,Técnico
243,40,43668794.0,23110381,Profesional
244,43,41613011.0,28882533,Bachillerato
245,22,48775389.0,33062442,Bachillerato
246,31,29801092.0,8418508,Profesional
247,30,22226524.0,10161745,Profesional
248,28,13760523.0,4826697,Técnico
249,52,45190370.0,15440871,Bachillerato
250,39,37082387.0,16024616,Técnico
251,22,18509906.0,2774829,Profesional
252,44,22917723.0,8692851,Posgrado
253,56,23755592.0,10590642,Profesional
254,45,,3804125,Bachillerato
255,19,19932592.0,3107637,Profesional
256,30,17018180.0,11791616,Bachillerato
257,47,24409145.0,12839848,Técnico
258,27,20735529.0,5689048,Bachillerato
259,39,13299080.0,1330697,Profesional
260,42,82474775.0,33571564,Profesional
261,25,56118624.0,24395839,Profesional
262,34,20321667.0,13578541,Profesional
263,18,34377699.0,12319143,Bachillerato
264,24,36963462.0,26955791,Técnico
265,32,54420466.0,26358211,Profesional
266,22,19923398.0,5579307,Profesional
267,51,51792780.0,27772366,Profesional
268,20,22811042.0,10924590,Técnico
269,30,15383048.0,6790871,Profesional
270,36,43088910.0,4688274,Técnico
271,49,57201298.0,13850010,Profesional
272,20,109415424.0,33970089,Profesional
273,46,16466610.0,6834936,Posgrado
274,35,,24212757,Bachillerato
275,25,24441848.0,5482370,Profesional
276,39,44383897.0,26216218,Profesional
277,36,14381643.0,1000000,Bachillerato
278,28,15955641.0,9666437,Bachillerato
279,35,20353644.0,13895530,Profesional
280,31,31208153.0,6462360,
281,36,21772696.0,12619570,Bachillerato
282,41,41709317.0,8144570,Posgrado
283,50,50131256.0,20032031,Profesional
284,22,40487211.0,24077326,Técnico
285,56,67396372.0,27892946,Profesional
286,18,36933193.0,11088420,Profesional
287,33,16325838.0,7408451,Profesional
288,40,59316388.0,33260237,Profesional
289,37,22167322.0,16209361,Profesional
290,28,47295096.0,29260813,Bachillerato
291,32,65895126.0,23110310,Profesional
292,30,37695524.0,26543653,Bachillerato
293,29,14198239.0,1000000,Bachillerato
294,43,18955446.0,1667825,Profesional
295,38,58123474.0,29305123,Bachillerato
296,28,27567458.0,5509227,Profesional
297,43,31217665.0,6325320,Profesional
298,38,43842759.0,11641960,Técnico
299,43,42493826.0,19675350,Bachillerato
300,41,34487512.0,17777074,Profesional
301,26,27027725.0,14289333,Posgrado
302,29,25658198.0,8602199,Profesional
303,42,46069300.0,25546691,Profesional
304,41,39566474.0,26379159,Bachillerato
305,34,26378449.0,12404468,Bachillerato
306,36,51534605.0,17690521,Profesional
307,47,28125603.0,24985812,Bachillerato
308,29,19596800.0,9324049,Posgrado
309,40,30856876.0,5345001,Profesional
310,32,,5913191,Profesional
311,32,26179911.0,8314530,Profesional
312,45,55593123.0,30214256,Profesional
313,43,20058435.0,2121731,Profesional
314,43,32964633.0,13169208,Posgrado
315,48,21603443.0,4744989,Posgrado
316,35,26338792.0,19911564,Posgrado
317,41,14100027.0,5321750,Profesional
318,31,26867792.0,16186757,Profesional
319,38,27230691.0,19826978,
320,33,39304591.0,6655244,Bachillerato
321,35,33543323.0,13834344,Técnico
322,40,16477590.0,1000000,Bachillerato
323,26,,32741413,Bachillerato
324,55,33326367.0,16542083,Técnico
325,24,33128506.0,1000000,
326,22,29862580.0,1000000,Posgrado
327,46,,12168664,Profesional
328,42,33451564.0,23750784,Bachillerato
329,41,38053444.0,21446082,Bachillerato
330,41,12525286.0,4542382,Profesional
331,34,22915578.0,9542681,Profesional
332,26,26409502.0,4151447,Posgrado
333,35,34099498.0,18591212,Posgrado
334,28,54481047.0,10282316,Posgrado
335,44,20395758.0,14112470,Técnico
336,33,23387845.0,6324074,Técnico
337,26,23218057.0,1328404,Profesional
338,31,20094247.0,4272616,Técnico
339,39,25219162.0,19138968,Profesional
340,29,44106117.0,30750183,Profesional
341,26,17712659.0,2899398,Profesional
342,37,37155231.0,11591561,Técnico
343,37,12810258.0,1476268,Profesional
344,29,22658348.0,9139682,Profesional
345,30,25443307.0,11282248,Posgrado
346,37,69312635.0,13624325,Técnico
347,20,26148615.0,17863295,Posgrado
348,20,10000000.0,6122476,Profesional
349,27,11042516.0,5675448,Profesional
350,32,30514811.0,10307415,Profesional
351,38,40775557.0,19270998,Profesional
352,49,36195156.0,32076008,Bachillerato
353,43,32621854.0,15085972,Bachillerato
354,33,53641723.0,30994186,Posgrado
355,34,22906066.0,19818676,Profesional
356,24,46929790.0,19369258,Bachillerato
357,34,13265808.0,4691529,Profesional
358,32,19081579.0,1000000,Técnico
359,38,12154223.0,1000000,Bachillerato
360,26,26148052.0,4925853,Profesional
361,40,29314045.0,3610483,Técnico
362,50,31761286.0,8068972,Bachillerato
363,33,30942760.0,8837119,Profesional
364,39,18867119.0,4098755,Profesional
365,41,27277902.0,8499081,
366,30,14189099.0,1568057,Técnico
367,37,59312013.0,9868282,Técnico
368,35,25774466.0,12554493,Bachillerato
369,35,23494217.0,12398083,Bachillerato
370,27,66398040.0,26091425,Bachillerato
371,35,16120215.0,9462998,Bachillerato
372,39,17088467.0,14358647,Profesional
373,49,17341235.0,2825984,Técnico
374,44,28999009.0,12635449,Bachillerato
375,56,,30311248,Bachillerato
376,27,43424991.0,25446961,Técnico
377,43,108548278.0,30154449,Profesional
378,36,10000000.0,4259395,Técnico
379,56,40673028.0,8793327,Bachillerato
380,26,22706065.0,2055619,Técnico
381,26,22376019.0,19414341,Profesional
382,29,22005915.0,6903053,Bachillerato
383,18,19045151.0,13490411,Profesional
384,29,69648404.0,23309032,Técnico
385,27,45711323.0,28101189,Bachillerato
386,36,30349965.0,10371056,Profesional
387,38,58950921.0,4584921,Profesional
388,53,14082500.0,9623050,Profesional
389,44,15422767.0,3640464,Técnico
390,29,10096749.0,1000000,Profesional
391,26,21146832.0,9725924,Técnico
392,39,,12222139,Profesional
393,21,31583242.0,22645479,Profesional
394,53,32325886.0,12376953,Bachillerato
395,46,14815426.0,4686271,Profesional
396,30,44825391.0,31546254,Profesional
397,18,33818606.0,7072251,
398,48,43281466.0,19207755,Posgrado
399,33,11644294.0,3374531,
400,47,35055860.0,9817777,Bachillerato
401,19,16565376.0,13919035,Posgrado
402,29,24594817.0,10324644,Técnico
403,35,39188362.0,16999642,Profesional
404,35,31397999.0,22031250,Profesional
405,30,19597997.0,5759035,Profesional
406,41,30094245.0,14675113,Técnico
407,24,13949305.0,7504699,Posgrado
408,33,53321044.0,30913767,Bachillerato
409,36,27073499.0,16107642,Técnico
410,40,52482110.0,26734153,Técnico
411,42,23056126.0,11969967,Posgrado
412,23,23090225.0,12600589,Posgrado
413,19,20472939.0,6831687,Bachillerato
414,47,46492190.0,10034508,Posgrado
415,38,21041187.0,5846305,Técnico
416,27,41408869.0,17263604,Posgrado
417,50,24778372.0,2045725,Profesional
418,36,11169822.0,4732870,Bachillerato
419,46,22556885.0,5057255,Bachillerato
420,35,,10318482,Bachillerato
421,55,30512875.0,20125581,Bachillerato
422,52,16543503.0,2271495,Profesional
423,32,47664406.0,8092871,Bachillerato
424,44,28664500.0,6684428,
425,41,,10396644,Profesional
426,48,41643423.0,12800655,Profesional
427,25,48577033.0,33540505,Bachillerato
428,41,29700028.0,23098302,Posgrado
429,45,20401271.0,2307947,Profesional
430,-5,12356874.0,7481909,Posgrado
431,23,21288616.0,7143661,Posgrado
432,18,22034100.0,10866087,Bachillerato
433,32,31649618.0,6737895,Bachillerato
434,42,25244894.0,6286055,Profesional
435,50,42315940.0,14320741,Posgrado
436,35,22080740.0,14084992,Profesional
437,51,29156468.0,19735526,Técnico
438,21,54227659.0,26847910,Profesional
439,18,,9283085,Técnico
440,34,29112819.0,17040099,Bachillerato
441,38,22202949.0,15445079,Profesional
442,34,21858321.0,2583609,Bachillerato
443,18,19607080.0,1261899,Profesional
444,34,22889858.0,13112208,Posgrado
445,21,43773573.0,5139365,Profesional
446,41,26849662.0,10130639,Posgrado
447,38,15276425.0,7748657,Profesional
448,25,72623025.0,28246580,Técnico
449,29,35204713.0,14862594,Profesional
450,24,14845928.0,2965034,Posgrado
451,34,24053317.0,17027613,Posgrado
452,44,31710269.0,7829100,
453,25,70350748.0,34513036,Bachillerato
454,40,17238429.0,1000000,Bachillerato
455,29,48872640.0,9447283,Bachillerato
456,27,60397070.0,28267523,Posgrado
457,33,21908402.0,1543564,Profesional
458,24,26113190.0,5083908,Posgrado
459,29,17868560.0,4750393,Profesional
460,23,27098186.0,8051814,Profesional
461,54,29456140.0,12814453,Bachillerato
462,35,41721741.0,12655673,Bachillerato
463,28,51742997.0,26849195,Técnico
464,37,20638316.0,2630525,Profesional
465,33,11218170.0,2675511,Bachillerato
466,32,29683014.0,8759042,Profesional
467,41,34742584.0,15769630,Técnico
468,42,33984557.0,21150422,Profesional
469,29,25479157.0,11659494,Bachillerato
470,29,31930875.0,6695159,Profesional
471,32,64002349.0,43314232,Técnico
472,18,36308957.0,1259656,Profesional
473,19,24891171.0,17131518,Técnico
474,48,23361712.0,3579814,Profesional
475,51,27557402.0,8287770,Posgrado
476,32,68004056.0,9505167,Bachillerato
477,40,27372723.0,3297696,Bachillerato
478,38,29704549.0,21931796,Profesional
479,65,23571552.0,14391803,Profesional
480,46,51971165.0,21817111,Técnico
481,33,79927183.0,40034499,Profesional
482,25,37581199.0,24070892,Bachillerato
483,18,31267644.0,3101007,Bachillerato
484,37,30556847.0,1597060,Técnico
485,27,,5351704,Profesional
486,20,43544038.0,14247573,Profesional
487,28,32081533.0,8431844,Profesional
488,24,37165035.0,11502567,Posgrado
489,51,21019830.0,5105219,Técnico
490,43,,2199870,Profesional
491,34,24426898.0,15005043,Posgrado
492,49,,5801589,Bachillerato
493,35,24824162.0,14258230,Técnico
494,26,,40467295,Posgrado
495,50,,19228997,Posgrado
496,40,15852957.0,6166449,Bachillerato
497,24,28132464.0,6951764,Bachillerato
498,33,21657673.0,1000000,Técnico
499,26,10014220.0,3223678,Técnico
500,-5,66748568.0,317444,Técnico
501,44,42638971.0,19127227,Profesional
502,54,39165687.0,23593449,Posgrado
503,21,32586536.0,13158200,
504,40,15032110.0,5869692,Profesional
505,28,23556194.0,7548543,Bachillerato
506,30,45699518.0,30057079,Bachillerato
507,29,17735838.0,2104642,Profesional
508,26,10000000.0,1000000,
509,35,26779706.0,16261669,Técnico
510,26,27947244.0,12787518,Posgrado
511,37,32103950.0,10276231,
512,34,43183423.0,14589406,Profesional
513,32,41264405.0,3029254,Técnico
514,25,34143843.0,5838813,Bachillerato
515,29,54541565.0,9530801,Profesional
516,42,14037221.0,2602541,Profesional
517,40,,21007792,Técnico
518,25,41036690.0,22170722,Profesional
519,35,16141865.0,9221521,Posgrado
520,42,14150671.0,9450320,Profesional
521,18,20660554.0,8396699,Bachillerato
522,40,21551095.0,14016768,Profesional
523,28,43724435.0,29224106,Profesional
524,40,22063573.0,5927560,Profesional
525,27,19550935.0,1000000,Profesional
526,18,22095644.0,9257070,Bachillerato
527,18,52484272.0,20270103,Profesional
528,35,30196289.0,19894740,Profesional
529,37,27428205.0,21453967,Profesional
530,25,28394476.0,8327952,Posgrado
531,41,57238545.0,15461828,Posgrado
532,18,20627219.0,6633430,Profesional
533,34,57913558.0,3381607,Profesional
534,22,33329588.0,10267614,
535,28,27687683.0,8461309,Profesional
536,35,104757445.0,63382928,Posgrado
537,26,17696690.0,8054747,Profesional
538,31,25137342.0,14284143,Técnico
539,45,16199522.0,7739999,Profesional
540,29,48299845.0,33764247,Profesional
541,43,69811018.0,10270778,Profesional
542,23,69141751.0,36542609,Profesional
543,40,55322060.0,29307642,Bachillerato
544,49,27177438.0,5162438,Bachillerato
545,18,24992527.0,3214779,Técnico
546,27,13008623.0,10488601,Técnico
547,40,83024367.0,12424908,Bachillerato
548,32,37927878.0,7693735,Profesional
549,38,23458172.0,4800157,Técnico
550,28,58278067.0,36036011,Posgrado
551,35,18445401.0,12887135,Bachillerato
552,33,,13653951,Bachillerato
553,46,27519168.0,13319393,Profesional
554,37,41286515.0,28503835,Bachillerato
555,38,29061393.0,18965215,Posgrado
556,30,14522997.0,11424541,Bachillerato
557,30,31155337.0,12934529,Técnico
558,30,50684971.0,11220948,Posgrado
559,38,29564939.0,10778701,Técnico
560,30,44201332.0,21646378,Bachillerato
561,37,17786373.0,2984902,Técnico
562,55,29608662.0,4260330,Profesional
563,43,21953841.0,1000000,Bachillerato
564,31,43583899.0,14817493,Profesional
565,47,30476111.0,15346891,Profesional
566,30,42361258.0,3347944,Posgrado
567,18,51679056.0,25616177,Bachillerato
568,24,42393992.0,29165519,Bachillerato
569,18,34389682.0,11175464,Técnico
570,31,18212191.0,8009432,Profesional
571,35,29958237.0,24528537,Técnico
572,51,22980641.0,18382157,Profesional
573,38,25258567.0,7598523,Profesional
574,32,24876667.0,4446155,Bachillerato
575,43,18379475.0,4430523,Profesional
576,18,11274325.0,9437572,Bachillerato
577,37,,15172360,Técnico
578,42,33045556.0,20677709,Bachillerato
579,20,15288621.0,4735747,Bachillerato
580,46,30236158.0,103079,Profesional
581,38,77581701.0,38822669,Profesional
582,30,50035145.0,17652979,Bachillerato
583,41,68235716.0,35707832,Posgrado
584,57,36479896.0,13356561,Técnico
585,36,53782723.0,19004847,Bachillerato
586,37,20888839.0,8512656,Bachillerato
587,30,21737247.0,4239201,Profesional
588,26,10000000.0,1000000,Posgrado
589,43,54286203.0,9255962,Profesional
590,26,64803484.0,17211925,Posgrado
591,35,22750992.0,1000000,Técnico
592,30,26422648.0,1805978,Técnico
593,39,20578900.0,12257661,Profesional
594,38,36325651.0,14809400,Profesional
595,45,52649863.0,26491222,Técnico
596,29,12551138.0,7287883,Posgrado
597,32,36815415.0,20068174,Bachillerato
598,25,26124184.0,13006171,Técnico
599,30,31750058.0,5143965,Profesional
600,38,37739012.0,20464744,Profesional
601,42,27305718.0,20136958,Técnico
602,25,28485749.0,16135596,Técnico
603,43,26957452.0,2957508,Profesional
604,48,48732954.0,14850973,Profesional
605,39,36987401.0,12473441,Profesional
606,53,33498114.0,18018159,Profesional
607,27,15890501.0,6856186,Técnico
608,22,24826397.0,3182803,Posgrado
609,18,47018068.0,14875539,Profesional
610,49,30570811.0,19678580,Técnico
611,41,41719269.0,11853473,Bachillerato
612,34,72562864.0,43461633,Técnico
613,37,50425672.0,32349754,Profesional
614,23,31430430.0,1000000,Posgrado
615,59,23235999.0,15459873,Profesional
616,36,10000000.0,1651031,Posgrado
617,36,27577629.0,8537032,
618,42,25487576.0,16439964,Profesional
619,39,36466005.0,20712337,Técnico
620,37,27778011.0,10842257,Bachillerato
621,27,25559392.0,5082092,Profesional
622,39,12323375.0,1000000,Bachillerato
623,53,18750369.0,7204259,Profesional
624,48,38073667.0,2347646,Profesional
625,50,70749905.0,31004642,Profesional
626,29,28572213.0,1000000,Bachillerato
627,25,35343090.0,8937778,
628,33,48300236.0,11751514,Posgrado
629,35,20000362.0,13017496,Posgrado
630,45,36039097.0,20080694,Profesional
631,18,20716952.0,8458808,Profesional
632,50,46229106.0,3724396,Técnico
633,33,32359217.0,13076686,Profesional
634,30,34828056.0,1000000,Profesional
635,24,20285332.0,9299523,Profesional
636,18,42721980.0,24782755,Profesional
637,43,85076754.0,36991104,Técnico
638,35,43267622.0,9651665,Bachillerato
639,22,25312994.0,14266450,Profesional
640,22,33683264.0,20680273,Técnico
641,31,44451579.0,26465441,Técnico
642,51,22678656.0,9739665,Bachillerato
643,32,10000000.0,1000000,Técnico
644,19,59192339.0,20260507,Profesional
645,32,43879640.0,12966826,Profesional
646,32,12550037.0,6233228,Bachillerato
647,18,22140599.0,3219065,Profesional
648,34,65712462.0,5253148,Técnico
649,32,61873723.0,14011151,Profesional
650,41,47967197.0,21187851,Técnico
651,53,27471281.0,12524187,Posgrado
652,46,31270998.0,15103199,Bachillerato
653,32,28099013.0,18291208,Profesional
654,23,,21664885,Posgrado
655,60,19361299.0,9567758,Posgrado
656,35,20051371.0,8907892,Bachillerato
657,35,49716390.0,18233821,Profesional
658,34,29341903.0,10123837,
659,36,59765648.0,21939538,Profesional
660,33,21443922.0,3152324,Bachillerato
661,29,29189475.0,7866031,Profesional
662,29,18915673.0,17332427,Bachillerato
663,34,30110643.0,12935837,Profesional
664,29,14323820.0,4483540,Profesional
665,27,23508937.0,12537365,Posgrado
666,36,,9168228,Profesional
667,32,42442872.0,11741705,Técnico
668,50,42926615.0,27881863,Bachillerato
669,18,12629887.0,5886151,Bachillerato
670,45,58448162.0,21323340,Profesional
671,47,104575044.0,38996249,Profesional
672,18,30698094.0,11479276,Profesional
673,31,21772337.0,18544088,Bachillerato
674,31,123145019.0,22288197,Profesional
675,20,15513539.0,3896445,Profesional
676,27,30303118.0,12956848,Posgrado
677,23,32819029.0,8823477,Profesional
678,52,58778209.0,27998451,Técnico
679,44,35911833.0,13906455,Técnico
680,47,23379987.0,8514824,Bachillerato
681,42,18645506.0,4459342,Profesional
682,23,25286899.0,14755394,Profesional
683,29,18133003.0,9517706,Bachillerato
684,39,30726025.0,4306101,Bachillerato
685,22,22625991.0,13418367,Bachillerato
686,42,14213304.0,5320082,Posgrado
687,32,56191768.0,8093868,Bachillerato
688,31,23391228.0,12354948,Técnico
689,42,15912882.0,3813835,Técnico
690,39,27579364.0,18389154,Técnico
691,31,31043304.0,17362723,Profesional
692,46,12527973.0,1737184,
693,24,35410954.0,15145018,Bachillerato
694,41,17771900.0,6520062,Profesional
695,40,70577527.0,16188896,Técnico
696,31,38985026.0,11047235,Posgrado
697,38,24563150.0,7437637,Técnico
698,22,20668555.0,15305812,Bachillerato
699,44,28466089.0,8738271,Profesional
700,33,40755579.0,21997478,Bachillerato
701,29,29620015.0,24655093,Bachillerato
702,45,26913229.0,10292062,Profesional
703,27,30888456.0,22631542,Profesional
704,20,22181706.0,2042404,Profesional
705,19,25269406.0,1000000,Profesional
706,41,10572974.0,1000000,Profesional
707,22,48816115.0,8542626,Profesional
708,52,34834081.0,21673669,Profesional
709,18,20378276.0,13677618,Profesional
710,51,77522240.0,50092773,Bachillerato
711,37,31334058.0,16419272,Técnico
712,34,17870040.0,10547228,Técnico
713,29,46042555.0,8782308,Técnico
714,38,36606341.0,10819154,Profesional
715,34,,18860593,Técnico
716,46,24247646.0,6061004,Bachillerato
717,36,37578994.0,16296580,Técnico
718,36,26319713.0,9912448,Bachillerato
719,31,39613426.0,18699230,Profesional
720,34,11573582.0,8975834,Profesional
721,38,24149426.0,10185277,Profesional
722,18,70971254.0,11798385,Técnico
